token,token_type,frequency,mean_ig,mean_abs_ig
RXNORM:197511,RXNORM,1,-2.0382537841796875,2.0382537841796875
RXNORM:749785,RXNORM,1,1.4746311902999878,1.4746311902999878
ICD10CM:S82.80,ICD10CM,1,-1.1037514209747314,1.1037514209747314
ICD10CM:Z72.0,ICD10CM,1,-0.930334746837616,0.930334746837616
ICD10CM:S82.90X?,ICD10CM,1,-0.9165871143341064,0.9165871143341064
RXNORM:562251,RXNORM,1,-0.8806027770042419,0.8806027770042419
ICD10CM:O03.84,ICD10CM,1,-0.6144139170646667,0.6144139170646667
RXNORM:308136,RXNORM,37,-0.09593628087659946,0.6086943723211015
SNOMED:44608003,SNOMED,2,-0.375371016561985,0.5903961285948753
RXNORM:1049625,RXNORM,3,-0.5620552798112234,0.5620552798112234
ICD10CM:O03.81,ICD10CM,1,-0.5062241554260254,0.5062241554260254
ICD10CM:O08.6,ICD10CM,1,-0.4850892722606659,0.4850892722606659
RXNORM:749882,RXNORM,1,0.4702591001987457,0.4702591001987457
SNOMED:386394001,SNOMED,1,-0.4561995565891266,0.4561995565891266
SNOMED:314098000,SNOMED,2,0.43886202573776245,0.43886202573776245
ICD10CM:O02.0,ICD10CM,1,0.39572709798812866,0.39572709798812866
ICD10CM:162673000,ICD10CM,4,-0.02109650894999504,0.38587190583348274
ICD10CM:E88.81,ICD10CM,4,0.31551601365208626,0.380622249096632
ICD10CM:I10,ICD10CM,39,0.04095958999525278,0.3762164252022138
SNOMED:58000006,SNOMED,1,0.36727669835090637,0.36727669835090637
SNOMED:763302001,SNOMED,9,-0.11847114562988281,0.3583553698327806
ICD10CM:O03.83,ICD10CM,1,-0.3557857871055603,0.3557857871055603
ICD10CM:R52,ICD10CM,1,0.3478408455848694,0.3478408455848694
ICD10CM:O08.5,ICD10CM,1,0.33770179748535156,0.33770179748535156
ICD10CM:Z60.4,ICD10CM,1,0.33091461658477783,0.33091461658477783
RXNORM:198031,RXNORM,2,-0.3210805356502533,0.3210805356502533
SNOMED:171207006,SNOMED,36,-0.08336186859135826,0.313636627410435
ICD10CM:O00.101,ICD10CM,1,0.3093324303627014,0.3093324303627014
ICD10CM:J03.0,ICD10CM,1,-0.28824853897094727,0.28824853897094727
ICD10CM:T50.9,ICD10CM,2,-0.21889814734458923,0.28518036007881165
ICD10CM:T14.1,ICD10CM,1,-0.2838568091392517,0.2838568091392517
ICD10CM:J44.1,ICD10CM,1,-0.2837655544281006,0.2837655544281006
ICD10CM:T74.32X?,ICD10CM,2,0.28217631205916405,0.28217631205916405
ICD10CM:33879002,ICD10CM,5,0.24821993261575698,0.28210715800523756
ICD10CM:160904001,ICD10CM,5,-0.08823978826403618,0.2771311320364475
ICD10CM:E88.810,ICD10CM,4,0.15407534688711166,0.2717201039195061
ICD10CM:R52.2,ICD10CM,1,0.2485170066356659,0.2485170066356659
ICD10CM:Z76.89,ICD10CM,31,-0.23161887065056833,0.24798635129005678
ICD10CM:J44.8,ICD10CM,1,-0.23934216797351837,0.23934216797351837
ICD10CM:T74.21X?,ICD10CM,1,0.23233120143413544,0.23233120143413544
ICD10CM:T74.12X?,ICD10CM,1,-0.22823868691921234,0.22823868691921234
SNOMED:443529005,SNOMED,2,0.22509681433439255,0.22509681433439255
ICD10CM:M23.50,ICD10CM,1,-0.22380957007408142,0.22380957007408142
ICD10CM:J02.0,ICD10CM,1,-0.22120697796344757,0.22120697796344757
ICD10CM:D64.9,ICD10CM,2,0.22043686360120773,0.22043686360120773
ICD10CM:E66.9,ICD10CM,3,0.16249234974384308,0.2197642276684443
