token,token_type,frequency,mean_ig,mean_abs_ig
RXNORM:197511,RXNORM,1,-2.0382537841796875,2.0382537841796875
RXNORM:749785,RXNORM,1,1.4746311902999878,1.4746311902999878
ICD10CM:F11.1,ICD10CM,1,-1.1298810243606567,1.1298810243606567
RXNORM:979485,RXNORM,6,1.0171605348587036,1.0171605348587036
ICD10CM:Z72.0,ICD10CM,1,-0.930334746837616,0.930334746837616
ICD10CM:7200002,ICD10CM,1,-0.8968350887298584,0.8968350887298584
SNOMED:236974004,SNOMED,1,-0.8795910477638245,0.8795910477638245
RXNORM:311372,RXNORM,1,0.8412062525749207,0.8412062525749207
RXNORM:751905,RXNORM,1,-0.8358141183853149,0.8358141183853149
SNOMED:54550000,SNOMED,1,0.7639881372451782,0.7639881372451782
SNOMED:88039007,SNOMED,1,-0.7094744443893433,0.7094744443893433
RXNORM:1870230,RXNORM,1,-0.7039797902107239,0.7039797902107239
RXNORM:308136,RXNORM,147,0.13320693201987313,0.6959541686652165
ICD10CM:P36.9,ICD10CM,1,0.6838470697402954,0.6838470697402954
ICD10CM:F10.2,ICD10CM,1,-0.6606215834617615,0.6606215834617615
ICD10CM:S82.80,ICD10CM,2,-0.6310596019029617,0.6310596019029617
SNOMED:698560000,SNOMED,1,-0.6284747123718262,0.6284747123718262
RXNORM:807283,RXNORM,6,-0.6092747822403908,0.6198802068829536
RXNORM:2001499,RXNORM,2,-0.31251096725463867,0.5824445486068726
RXNORM:705129,RXNORM,2,0.5657982975244522,0.5657982975244522
RXNORM:993770,RXNORM,9,-0.1615527793765068,0.5518377564019628
RXNORM:748879,RXNORM,2,-0.2023545801639557,0.5489552915096283
ICD10CM:M27.3,ICD10CM,1,-0.5238204598426819,0.5238204598426819
RXNORM:389221,RXNORM,3,0.5111689070860544,0.5111689070860544
ICD10CM:S52.90,ICD10CM,1,-0.47423985600471497,0.47423985600471497
RXNORM:749882,RXNORM,1,0.4702591001987457,0.4702591001987457
ICD10CM:S82.90X?,ICD10CM,2,-0.4654734814539552,0.4654734814539552
SNOMED:1263416007,SNOMED,2,-0.45827433466911316,0.45827433466911316
ICD10CM:O99.3,ICD10CM,1,-0.44986242055892944,0.44986242055892944
RXNORM:831533,RXNORM,2,-0.11772772669792175,0.4368092715740204
RXNORM:562251,RXNORM,6,-0.3464279255519311,0.42716635080675286
RXNORM:978950,RXNORM,1,-0.4212048053741455,0.4212048053741455
ICD10CM:K04.7,ICD10CM,1,-0.41738104820251465,0.41738104820251465
ICD10CM:M16.9,ICD10CM,2,-0.1909550279378891,0.4163808971643448
SNOMED:44608003,SNOMED,9,-0.24798762384388182,0.4140769201848242
ICD10CM:A41.9,ICD10CM,1,0.4136711061000824,0.4136711061000824
RXNORM:1049625,RXNORM,5,-0.30973721742630006,0.41173856258392333
ICD10CM:M16.12,ICD10CM,2,-0.23714838922023773,0.40358127653598785
ICD10CM:T50.9,ICD10CM,5,-0.010728716850280762,0.40256943702697756
SNOMED:46706006,SNOMED,1,0.40223032236099243,0.40223032236099243
SNOMED:169553002,SNOMED,7,0.3980057420475142,0.3980057420475142
SNOMED:237001001,SNOMED,1,-0.3895120918750763,0.3895120918750763
ICD10CM:E78.1,ICD10CM,2,0.38139568269252777,0.38139568269252777
ICD10CM:M91.0,ICD10CM,2,0.3804548382759094,0.3804548382759094
ICD10CM:I10,ICD10CM,185,0.16578629794153008,0.3699088086953034
ICD10CM:M16.0,ICD10CM,2,-0.3683680593967438,0.3683680593967438
SNOMED:58000006,SNOMED,1,0.36727669835090637,0.36727669835090637
