token,token_type,frequency,mean_ig,mean_abs_ig
ICD10CM:E66.8,ICD10CM,1,2.4098262786865234,2.4098262786865234
RXNORM:313820,RXNORM,2,1.4337917566299438,1.4337917566299438
RXNORM:198031,RXNORM,1,-1.4029290676116943,1.4029290676116943
RXNORM:979485,RXNORM,7,0.1562182828783989,1.24646211628403
ICD10CM:Z65.3,ICD10CM,1,1.1532623767852783,1.1532623767852783
SNOMED:305351004,SNOMED,1,1.1507174968719482,1.1507174968719482
ICD10CM:33879002,ICD10CM,446,-1.0141468003513334,1.0781845080524248
RXNORM:310325,RXNORM,3,0.8693650563557943,1.0781817436218262
RXNORM:1664463,RXNORM,6,-0.6272215743859609,1.02639306584994
ICD10CM:368581000119106,ICD10CM,1,-0.9660657644271851,0.9660657644271851
RXNORM:242969,RXNORM,1,-0.9445675015449524,0.9445675015449524
RXNORM:351137,RXNORM,9,-0.81092828594976,0.8845346429281764
SNOMED:180207008,SNOMED,2,0.8652597814798355,0.8652597814798355
RXNORM:351136,RXNORM,3,-0.567547490199407,0.8095724483331045
RXNORM:206905,RXNORM,126,-0.6432765992210497,0.8071592728356047
RXNORM:309097,RXNORM,2,0.5216116607189178,0.7095804512500763
ICD10CM:F02.80,ICD10CM,4,-0.7031373307108879,0.7031373307108879
SNOMED:446573003,SNOMED,2,-0.6993058025836945,0.6993058025836945
RXNORM:993770,RXNORM,28,-0.6220340356563351,0.6922806004128818
SNOMED:274474001,SNOMED,9,-0.6914842865533299,0.6914842865533299
SNOMED:241055006,SNOMED,3,-0.39796804388364154,0.6739331583182017
ICD10CM:N12,ICD10CM,2,0.6623171865940094,0.6623171865940094
RXNORM:349094,RXNORM,25,0.5471371392905712,0.65467674061656
RXNORM:308136,RXNORM,308,0.02066711565576397,0.6462321973696061
ICD10CM:S52.90,ICD10CM,5,0.16312817931175233,0.643291050195694
RXNORM:198014,RXNORM,1,-0.6377040147781372,0.6377040147781372
ICD10CM:S63.003?,ICD10CM,1,-0.6346946358680725,0.6346946358680725
RXNORM:860975,RXNORM,35,-0.007620638502495629,0.611212092425142
RXNORM:617296,RXNORM,1,-0.6084789633750916,0.6084789633750916
ICD10CM:F19.10,ICD10CM,1,-0.603873074054718,0.603873074054718
ICD10CM:H66.90,ICD10CM,11,-0.5990494118834083,0.5990494118834083
SNOMED:261352009,SNOMED,15,-0.5759019455251594,0.5950730086304248
