loss,grad_norm,learning_rate,epoch,step,eval_0_precision,eval_0_recall,eval_0_f1-score,eval_0_support,eval_1_precision,eval_1_recall,eval_1_f1-score,eval_1_support,eval_accuracy,eval_macro avg_precision,eval_macro avg_recall,eval_macro avg_f1-score,eval_macro avg_support,eval_weighted avg_precision,eval_weighted avg_recall,eval_weighted avg_f1-score,eval_weighted avg_support,eval_roc_auc_0_vs_rest,eval_roc_auc_1_vs_rest,eval_roc_auc_average,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.1805,0.5455945134162903,2.8600934579439253e-06,2.336448598130841,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0195,0.20262481272220612,2.7199065420560747e-06,4.672897196261682,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.014,0.1326012760400772,2.5797196261682244e-06,7.009345794392523,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0121,0.8040916919708252,2.439532710280374e-06,9.345794392523365,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9.345794392523365,2000,0.9975130002260909,0.9970621468926554,0.9972875226039783,4425.0,0.9902255639097745,0.9917168674698795,0.9909706546275395,1328.0,0.995828263514688,0.9938692820679327,0.9943895071812674,0.994129088615759,5753.0,0.9958307969533517,0.995828263514688,0.9958293615275468,5753.0,0.9991886188823089,0.9991887890545232,0.9991887039684161,0.021923072636127472,21.8903,262.81,16.446,,,,,
0.0103,0.7576725482940674,2.299345794392523e-06,11.682242990654206,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0086,1.6823982000350952,2.159158878504673e-06,14.018691588785046,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0067,1.7429474592208862,2.0189719626168223e-06,16.35514018691589,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0057,0.8163503408432007,1.8787850467289719e-06,18.69158878504673,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18.69158878504673,4000,0.9972869093375537,0.9968361581920904,0.9970614828209765,4425.0,0.9894736842105263,0.9909638554216867,0.9902182091798345,1328.0,0.9954806188075787,0.9933802967740399,0.9939000068068886,0.9936398460004054,5753.0,0.9954833350339395,0.9954806188075787,0.9954818083215089,5753.0,0.9982275713021578,0.9982273160438362,0.998227443672997,0.029163038358092308,21.9188,262.469,16.424,,,,,
0.0043,4.293011665344238,1.7385981308411215e-06,21.02803738317757,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004,0.03872545808553696,1.5984112149532708e-06,23.364485981308412,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0036,0.017525728791952133,1.4582242990654206e-06,25.700934579439252,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003,0.6520029902458191,1.3180373831775702e-06,28.037383177570092,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,28.037383177570092,6000,0.9972838388411046,0.9957062146892656,0.9964944023521429,4425.0,0.9857677902621723,0.9909638554216867,0.9883589936162223,1328.0,0.9946115070398053,0.9915258145516385,0.9933350350554762,0.9924266979841826,5753.0,0.9946255192664788,0.9946115070398053,0.9946164564454331,5753.0,0.9984185045265809,0.9984225035736165,0.9984205040500986,0.03368860483169556,22.0207,261.255,16.348,,,,,
0.0023,0.37538477778434753,1.1778504672897195e-06,30.373831775700936,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0024,0.5108091235160828,1.0376635514018691e-06,32.71028037383178,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002,8.081229209899902,8.974766355140187e-07,35.046728971962615,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0018,0.03658105432987213,7.572897196261682e-07,37.38317757009346,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,37.38317757009346,8000,0.9968375875310594,0.9972881355932204,0.9970628106642566,4425.0,0.9909502262443439,0.9894578313253012,0.9902034664657121,1328.0,0.9954806188075787,0.9938939068877017,0.9933729834592608,0.9936331385649844,5753.0,0.9954785720975885,0.9954806188075787,0.9954794265002261,5753.0,0.9975886597236403,0.9975849159349262,0.9975867878292832,0.03541918843984604,21.8972,262.728,16.44,,,,,
0.0015,0.022078106179833412,6.171028037383177e-07,39.7196261682243,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0013,0.2565288543701172,4.769158878504673e-07,42.05607476635514,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0011,0.040935318917036057,3.3672897196261684e-07,44.39252336448598,9500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001,0.13017122447490692,1.9654205607476633e-07,46.728971962616825,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,46.728971962616825,10000,0.9970588235294118,0.9959322033898305,0.9964951950254382,4425.0,0.986496624156039,0.990210843373494,0.9883502442690718,1328.0,0.9946115070398053,0.9917777238427254,0.9930715233816623,0.992422719647255,5753.0,0.9946206867715742,0.9946115070398053,0.9946150464760805,5753.0,0.9981344871009463,0.9981862194540875,0.998160353277517,0.039065901190042496,21.9202,262.452,16.423,,,,,
0.001,0.04210465028882027,5.635514018691589e-08,49.06542056074766,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,50.0,10700,,,,,,,,,,,,,,,,,,,,,,,,,25782.3395,211.957,0.415,1.43783613977856e+18,0.013410053508025464
