loss,grad_norm,learning_rate,epoch,step,eval_0_precision,eval_0_recall,eval_0_f1-score,eval_0_support,eval_1_precision,eval_1_recall,eval_1_f1-score,eval_1_support,eval_accuracy,eval_macro avg_precision,eval_macro avg_recall,eval_macro avg_f1-score,eval_macro avg_support,eval_weighted avg_precision,eval_weighted avg_recall,eval_weighted avg_f1-score,eval_weighted avg_support,eval_roc_auc_0_vs_rest,eval_roc_auc_1_vs_rest,eval_roc_auc_average,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.5464,2.1623177528381348,2.96969696969697e-06,0.5037783375314862,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3294,0.8289613723754883,2.9393939393939393e-06,1.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,100,0.943030303030303,0.8781038374717833,0.9094097019286966,886.0,0.7894736842105263,0.8960176991150443,0.8393782383419689,452.0,0.8841554559043349,0.8662519936204147,0.8870607682934137,0.8743939701353327,1338.0,0.8911561687204831,0.8841554559043349,0.8857518382955121,1338.0,0.9659776463772749,0.9659776463772748,0.9659776463772749,0.26143530011177063,0.9409,1422.053,44.638,,,,,
0.2276,3.8904144763946533,2.9090909090909093e-06,1.5037783375314862,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1875,1.0474939346313477,2.878787878787879e-06,2.0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.0,200,0.9859872611464968,0.873589164785553,0.926391382405745,886.0,0.7974683544303798,0.9756637168141593,0.8776119402985074,452.0,0.9080717488789237,0.8917278077884383,0.9246264407998561,0.9020016613521262,1338.0,0.9223022493111569,0.9080717488789237,0.9099128264771416,1338.0,0.9805691783695241,0.980569178369524,0.9805691783695241,0.18362142145633698,0.9431,1418.743,44.535,,,,,
0.1701,2.9493408203125,2.8484848484848484e-06,2.503778337531486,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1555,1.125193476676941,2.8181818181818185e-06,3.0,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.0,300,0.9850931677018634,0.8950338600451467,0.937906564163217,886.0,0.8255159474671669,0.9734513274336283,0.8934010152284264,452.0,0.92152466367713,0.9053045575845151,0.9342425937393875,0.9156537896958217,1338.0,0.9311851680411138,0.92152466367713,0.9228718047323312,1338.0,0.98444335683893,0.9844433568389301,0.9844433568389301,0.1624632477760315,0.956,1399.551,43.932,,,,,
0.1491,5.5694708824157715,2.787878787878788e-06,3.503778337531486,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1368,1.7442547082901,2.7575757575757576e-06,4.0,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.0,400,0.9821002386634845,0.9288939051918735,0.9547563805104409,886.0,0.874,0.9668141592920354,0.9180672268907563,452.0,0.9417040358744395,0.9280501193317423,0.9478540322419544,0.9364118037005986,1338.0,0.9455820713421879,0.9417040358744395,0.942362137284658,1338.0,0.9872113406180707,0.9872113406180707,0.9872113406180707,0.13546881079673767,0.9519,1405.661,44.124,,,,,
0.1378,6.865621566772461,2.7272727272727272e-06,4.503778337531486,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1284,2.1036746501922607,2.6969696969696972e-06,5.0,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.0,500,0.9754959159859977,0.9435665914221218,0.9592656339644291,886.0,0.896049896049896,0.9535398230088495,0.9239013933547695,452.0,0.9469357249626308,0.9357729060179469,0.9485532072154856,0.9415835136595994,1338.0,0.9486576491615449,0.9469357249626308,0.947318969722601,1338.0,0.9891415629557122,0.9891415629557122,0.9891415629557122,0.1253032237291336,0.9513,1406.487,44.15,,,,,
0.1298,6.6011881828308105,2.6666666666666664e-06,5.503778337531486,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1206,1.6850191354751587,2.6363636363636364e-06,6.0,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
